   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
    2    2    4    3    4    2    2    1    2    1    1
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 11/06/14
 -13.99653 -14.02880 -14.07750 -14.13057 -14.20943 -14.36166 -14.50186 -14.64540
 -13.53929 -13.56172 -13.58621 -13.62309 -13.65294 -13.68209 -13.72266 -13.75609
 -13.79137 -13.84053 -13.87746 -13.91195 -13.95852 -13.99444 -14.02791 -14.06760
 -14.09332 -14.11539 -14.14956 -14.19151 -14.25828 -14.38911 -14.50942 -14.63257
 -13.79770 -13.81805 -13.83876 -13.87056 -13.89660 -13.92059 -13.95329 -13.98090
 -14.01080 -14.05252 -14.08029 -14.10033 -14.13102 -14.15699 -14.17618 -14.19889
 -14.21415 -14.22355 -14.23929 -14.26710 -14.31866 -14.42221 -14.51690 -14.61375
 -13.96791 -13.98690 -14.00511 -14.03356 -14.05710 -14.07769 -14.10520 -14.12898
 -14.15534 -14.19216 -14.21389 -14.22441 -14.24464 -14.26405 -14.27384 -14.28537
 -14.29374 -14.29480 -14.29839 -14.31689 -14.35843 -14.44401 -14.52182 -14.60135
 -14.14834 -14.16587 -14.18145 -14.20635 -14.22724 -14.24421 -14.26623 -14.28595
 -14.30855 -14.34018 -14.35551 -14.35594 -14.36509 -14.37754 -14.37737 -14.37705
 -14.37811 -14.37033 -14.36105 -14.36967 -14.40058 -14.46712 -14.52704 -14.58821
 -14.35345 -14.36933 -14.38191 -14.40278 -14.42064 -14.43352 -14.44929 -14.46439
 -14.48272 -14.50844 -14.51651 -14.50547 -14.50201 -14.50656 -14.49505 -14.48126
 -14.47402 -14.45619 -14.43227 -14.42966 -14.44851 -14.49339 -14.53297 -14.57327
 -14.49898 -14.51369 -14.52414 -14.54215 -14.55787 -14.56784 -14.57917 -14.59100
 -14.60630 -14.62783 -14.63074 -14.61156 -14.59916 -14.59810 -14.57855 -14.55520
 -14.54207 -14.51710 -14.48280 -14.47223 -14.48251 -14.51203 -14.53718 -14.56267
 -14.70408 -14.71715 -14.72460 -14.73858 -14.75128 -14.75714 -14.76223 -14.76944
 -14.78048 -14.79610 -14.79173 -14.76108 -14.73608 -14.72711 -14.69624 -14.65941
 -14.63798 -14.60296 -14.55403 -14.53223 -14.53043 -14.53830 -14.54311 -14.54773
 -14.96249 -14.97348 -14.97715 -14.98605 -14.99494 -14.99564 -14.99286 -14.99425
 -14.99991 -15.00809 -14.99456 -14.94946 -14.90858 -14.88966 -14.84451 -14.79071
 -14.75882 -14.71113 -14.64376 -14.60782 -14.59081 -14.57139 -14.55059 -14.52891
 -15.13270 -15.14233 -15.14350 -15.14906 -15.15544 -15.15274 -15.14477 -15.14233
 -15.14445 -15.14773 -15.12816 -15.07354 -15.02221 -14.99672 -14.94217 -14.87719
 -14.83841 -14.78238 -14.70286 -14.65761 -14.63058 -14.59319 -14.55551 -14.51651
 -15.31313 -15.32130 -15.31984 -15.32184 -15.32558 -15.31926 -15.30580 -15.29929
 -15.29766 -15.29575 -15.26979 -15.20507 -15.14265 -15.11021 -15.04569 -14.96886
 -14.92278 -14.85791 -14.76552 -14.71039 -14.67274 -14.61630 -14.56073 -14.50337
 -15.51824 -15.52476 -15.52029 -15.51827 -15.51898 -15.50857 -15.48885 -15.47773
 -15.47183 -15.46401 -15.43078 -15.35459 -15.27957 -15.23923 -15.16338 -15.07308
 -15.01869 -14.94376 -14.83674 -14.77038 -14.72066 -14.64257 -14.56666 -14.48843
---------------------/ IPRT= 2  / IGRD= 1  /--------/ Z1= 1   / DATE= 11/06/14
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000 -74.00000
