25,0,0,0,0,0,2,0,1,4,0,0,0,4,2,4,2,2,2,4,0,6,4,6,4,5,4,0,2,2,6,4,8,4,8,4,6,0,4,2,8,1,2,6,6,4,0,4,4,4,6,4,0,6,6,6,8,10,10,8,10,7,10,4,10,14,6,14,18,18,16,14,26,10,8,24,16,18,18,8,8,10,6,4,4,2,6,0,4,0
0,4,2,0,2,2,4,3,0,0,10,4,2,4,5,9,3,3,3,5,4,6,7,12,7,11,14,4,15,8,15,6,10,9,12,1,10,13,6,17,8,12,11,6,10,6,18,12,10,8,3,8,6,6,8,17,16,6,12,12,6,15,12,10,18,24,22,15,44,8,28,29,39,28,23,30,44,38,22,28,34,28,16,16,18,12,18,16,2,4
0,0,0,0,0,3,5,2,8,5,6,4,8,15,7,4,13,12,17,9,14,10,19,16,2,18,12,19,12,10,15,16,14,27,21,13,16,15,18,19,18,9,16,15,15,5,20,19,18,23,13,8,10,17,16,22,17,21,10,14,16,8,16,17,22,27,30,34,40,37,30,56,30,49,56,60,61,46,46,27,30,30,20,40,27,32,25,8,10,0
0,0,2,4,8,4,16,0,16,6,10,8,8,17,17,11,18,12,4,23,10,19,36,13,12,18,11,10,21,11,14,21,13,22,11,12,20,8,21,13,25,19,18,29,20,16,21,22,26,22,31,29,18,17,35,20,21,13,9,7,27,18,12,28,10,28,30,30,51,50,93,76,40,66,50,74,69,80,59,58,75,40,53,49,38,26,28,22,15,2
2,2,2,2,0,5,4,9,6,7,6,8,8,6,5,6,11,18,22,15,16,15,19,24,14,28,28,25,25,19,21,29,18,24,17,33,33,13,32,28,40,18,17,21,24,10,13,23,22,24,26,17,28,21,23,20,32,25,19,18,23,27,15,18,20,27,50,62,56,73,78,57,97,87,88,58,67,88,95,74,89,86,55,73,65,39,26,34,20,4
0,0,1,4,8,2,8,3,13,5,11,4,16,8,12,15,21,8,14,8,28,26,26,15,27,36,19,23,13,16,28,28,22,25,26,39,33,23,24,14,29,16,36,15,23,19,21,26,30,30,32,20,18,16,30,31,21,38,28,23,23,31,35,30,31,33,38,41,56,49,81,82,110,121,112,122,109,93,98,123,105,102,99,61,71,46,54,12,18,6
0,0,0,3,2,4,6,9,11,7,9,13,8,7,13,22,9,17,38,14,19,23,18,21,21,17,29,27,53,20,32,17,39,18,44,38,44,21,22,27,29,26,19,29,38,30,28,29,32,36,29,25,19,29,28,40,24,33,39,28,31,30,16,38,22,35,40,49,49,88,109,87,123,122,144,136,130,124,125,109,104,98,104,79,81,56,49,32,18,1
0,0,2,2,5,6,7,10,11,16,9,14,20,13,17,4,18,11,25,24,22,17,22,29,24,25,25,24,31,24,41,28,25,34,34,37,30,37,21,30,23,21,24,23,29,24,28,35,26,37,20,35,12,25,35,21,37,41,22,34,20,27,21,17,30,32,41,65,61,99,61,112,134,173,167,183,166,169,134,143,132,137,145,92,94,62,51,21,24,13
0,4,1,0,4,3,12,8,6,12,11,14,14,21,18,26,26,17,11,14,19,14,17,13,41,13,29,24,24,26,28,31,26,24,35,38,22,39,21,23,29,26,22,30,29,33,33,14,25,38,31,28,41,50,28,30,37,35,22,27,29,37,38,28,37,31,68,56,94,109,102,187,206,223,166,205,204,194,187,212,168,160,149,146,109,103,79,81,26,4
1,0,4,2,5,14,11,12,7,12,11,19,11,15,11,16,6,12,31,21,19,22,29,27,27,26,25,27,41,11,23,39,22,22,31,36,30,37,39,19,31,39,44,24,35,41,30,27,30,28,33,31,32,29,32,28,31,31,21,27,41,23,38,28,27,38,36,79,81,130,157,138,214,229,223,282,275,289,263,275,188,195,185,158,159,110,106,79,47,14
