   74    /W   IONISATION RATE COEFFICIENTS   /
 1.043E-08 9.234E-09 7.913E-09 6.551E-09 4.927E-09 3.899E-09
W +13/W +14/   12/I.P. =          2344652.5/ICODE =  1/FCODE =  1/ISEL =  14
 3.378E+01 8.445E+01 1.689E+02 3.378E+02 8.445E+02 1.689E+03
 3.378E+03 8.445E+03 1.689E+04 3.378E+04 8.445E+04 1.689E+05
 1.210E-12 2.741E-10 1.792E-09 4.745E-09 8.487E-09 9.888E-09
 9.993E-09 8.840E-09 7.564E-09 6.235E-09 4.654E-09 3.656E-09
W +14/W +15/   12/I.P. =          2623720.2/ICODE =  1/FCODE =  1/ISEL =  15
 3.878E+01 9.737E+01 1.939E+02 3.878E+02 9.737E+02 1.939E+03
 3.878E+03 9.737E+03 1.939E+04 3.878E+04 9.737E+04 1.939E+05
 8.043E-13 2.066E-10 1.396E-09 3.777E-09 6.805E-09 7.899E-09
 7.950E-09 7.000E-09 5.958E-09 4.911E-09 3.655E-09 2.870E-09
W +15/W +16/   12/I.P. =          2918919.0/ICODE =  1/FCODE =  1/ISEL =  16
 4.412E+01 1.103E+02 2.206E+02 4.412E+02 1.103E+03 2.206E+03
 4.412E+03 1.103E+04 2.206E+04 4.412E+04 1.103E+05 2.206E+05
 9.821E-13 2.119E-10 1.338E-09 3.419E-09 5.866E-09 6.639E-09
 6.551E-09 5.668E-09 4.796E-09 3.925E-09 2.901E-09 2.272E-09
W +16/W +17/   12/I.P. =          3128623.0/ICODE =  1/FCODE =  1/ISEL =  17
 4.981E+01 1.249E+02 2.490E+02 4.981E+02 1.249E+03 2.490E+03
 4.981E+03 1.249E+04 2.490E+04 4.981E+04 1.249E+05 2.490E+05
 1.628E-12 2.567E-10 1.420E-09 3.405E-09 5.623E-09 6.289E-09
 6.167E-09 5.301E-09 4.470E-09 3.643E-09 2.683E-09 2.101E-09
W +17/W +18/   12/I.P. =          3393172.8/ICODE =  1/FCODE =  1/ISEL =  18
 5.584E+01 1.396E+02 2.792E+02 5.584E+02 1.396E+03 2.792E+03
 5.584E+03 1.396E+04 2.792E+04 5.584E+04 1.396E+05 2.792E+05
 2.428E-12 2.873E-10 1.454E-09 3.283E-09 5.127E-09 5.554E-09
 5.308E-09 4.474E-09 3.736E-09 3.029E-09 2.228E-09 1.735E-09
W +18/W +19/   12/I.P. =          3727086.0/ICODE =  1/FCODE =  1/ISEL =  19
 6.221E+01 1.560E+02 3.111E+02 6.221E+02 1.560E+03 3.111E+03
 6.221E+03 1.560E+04 3.111E+04 6.221E+04 1.560E+05 3.111E+05
 2.682E-12 2.829E-10 1.337E-09 2.905E-09 4.396E-09 4.685E-09
 4.425E-09 3.686E-09 3.040E-09 2.451E-09 1.786E-09 1.386E-09
W +19/W +20/   12/I.P. =          4053740.5/ICODE =  1/FCODE =  1/ISEL =  20
 6.894E+01 1.723E+02 3.447E+02 6.894E+02 1.723E+03 3.447E+03
 6.894E+03 1.723E+04 3.447E+04 6.894E+04 1.723E+05 3.447E+05
 2.943E-12 2.539E-10 1.156E-09 2.464E-09 3.695E-09 3.923E-09
 3.690E-09 3.060E-09 2.526E-09 2.028E-09 1.476E-09 1.144E-09
W +20/W +21/   12/I.P. =          4382814.5/ICODE =  1/FCODE =  1/ISEL =  21
 7.600E+01 1.904E+02 3.800E+02 7.600E+02 1.904E+03 3.800E+03
 7.600E+03 1.904E+04 3.800E+04 7.600E+04 1.904E+05 3.800E+05
 1.883E-12 1.836E-10 8.728E-10 1.920E-09 2.935E-09 3.142E-09
 2.966E-09 2.464E-09 2.032E-09 1.632E-09 1.190E-09 9.234E-10
W +21/W +22/   12/I.P. =          4794963.5/ICODE =  1/FCODE =  1/ISEL =  22
 8.341E+01 2.085E+02 4.171E+02 8.341E+02 2.085E+03 4.171E+03
 8.341E+03 2.085E+04 4.171E+04 8.341E+04 2.085E+05 4.171E+05
 2.203E-12 1.856E-10 8.250E-10 1.741E-09 2.582E-09 2.728E-09
 2.547E-09 2.085E-09 1.707E-09 1.361E-09 9.844E-10 7.602E-10
W +22/W +23/   12/I.P. =          5167591.5/ICODE =  1/FCODE =  1/ISEL =  23
 9.134E+01 2.283E+02 4.558E+02 9.134E+02 2.283E+03 4.558E+03
 9.134E+03 2.283E+04 4.558E+04 9.134E+04 2.283E+05 4.558E+05
 2.489E-12 1.779E-10 7.465E-10 1.535E-09 2.232E-09 2.316E-09
 2.138E-09 1.728E-09 1.402E-09 1.112E-09 7.975E-10 6.133E-10
W +23/W +24/   12/I.P. =          5529734.5/ICODE =  1/FCODE =  1/ISEL =  24
 9.910E+01 2.482E+02 4.963E+02 9.910E+02 2.482E+03 4.963E+03
 9.910E+03 2.482E+04 4.963E+04 9.910E+04 2.482E+05 4.963E+05
 1.558E-12 1.236E-10 5.557E-10 1.177E-09 1.729E-09 1.797E-09
 1.658E-09 1.340E-09 1.091E-09 8.660E-10 6.250E-10 4.823E-10
W +24/W +25/   12/I.P. =          5920913.0/ICODE =  1/FCODE =  1/ISEL =  25
 1.077E+02 2.697E+02 5.386E+02 1.077E+03 2.697E+03 5.386E+03
 1.077E+04 2.697E+04 5.386E+04 1.077E+05 2.697E+05 5.386E+05
 3.573E-12 1.847E-10 6.595E-10 1.233E-09 1.691E-09 1.724E-09
 1.575E-09 1.262E-09 1.020E-09 8.046E-10 5.759E-10 4.418E-10
W +25/W +26/   12/I.P. =          6326609.5/ICODE =  1/FCODE =  1/ISEL =  26
 1.163E+02 2.913E+02 5.825E+02 1.163E+03 2.913E+03 5.825E+03
 1.163E+04 2.913E+04 5.825E+04 1.163E+05 2.913E+05 5.825E+05
 1.409E-12 9.700E-11 4.179E-10 8.627E-10 1.235E-09 1.263E-09
 1.148E-09 9.138E-10 7.353E-10 5.806E-10 4.156E-10 3.195E-10
W +26/W +27/   12/I.P. =          6721821.0/ICODE =  1/FCODE =  1/ISEL =  27
 1.258E+02 3.145E+02 6.282E+02 1.258E+03 3.145E+03 6.282E+03
 1.258E+04 3.145E+04 6.282E+04 1.258E+05 3.145E+05 6.282E+05
 1.115E-10 3.057E-09 6.839E-09 8.487E-09 8.319E-09 7.529E-09
 6.416E-09 4.809E-09 3.697E-09 2.764E-09 1.841E-09 1.338E-09
W +27/W +28/   12/I.P. =          7108967.0/ICODE =  1/FCODE =  1/ISEL =  28
 1.353E+02 3.378E+02 6.756E+02 1.353E+03 3.378E+03 6.756E+03
 1.353E+04 3.378E+04 6.756E+04 1.353E+05 3.378E+05 6.756E+05
 6.552E-13 5.418E-11 2.534E-10 5.468E-10 7.994E-10 8.213E-10
 7.475E-10 5.966E-10 4.820E-10 3.805E-10 2.741E-10 2.115E-10
W +28/W +29/   12/I.P. =          9131804.0/ICODE =  1/FCODE =  1/ISEL =  29
 1.448E+02 3.628E+02 7.247E+02 1.448E+03 3.628E+03 7.247E+03
 1.448E+04 3.628E+04 7.247E+04 1.448E+05 3.628E+05 7.247E+05
 1.598E-13 2.637E-11 1.530E-10 3.653E-10 5.646E-10 5.880E-10
 5.380E-10 4.299E-10 3.469E-10 2.749E-10 1.971E-10 1.520E-10
W +29/W +30/   12/I.P. =          9516531.0/ICODE =  1/FCODE =  1/ISEL =  30
 1.551E+02 3.878E+02 7.755E+02 1.551E+03 3.878E+03 7.755E+03
 1.551E+04 3.878E+04 7.755E+04 1.551E+05 3.878E+05 7.755E+05
 1.730E-13 2.505E-11 1.398E-10 3.260E-10 4.930E-10 5.087E-10
 4.618E-10 3.669E-10 2.955E-10 2.326E-10 1.675E-10 1.291E-10
W +30/W +31/   12/I.P. =          9923840.0/ICODE =  1/FCODE =  1/ISEL =  31
 1.654E+02 4.145E+02 8.281E+02 1.654E+03 4.145E+03 8.281E+03
 1.654E+04 4.145E+04 8.281E+04 1.654E+05 4.145E+05 8.281E+05
 1.775E-13 2.360E-11 1.265E-10 2.878E-10 4.282E-10 4.372E-10
 3.955E-10 3.122E-10 2.506E-10 1.968E-10 1.415E-10 1.091E-10
W +31/W +32/   12/I.P. =         10351314.0/ICODE =  1/FCODE =  1/ISEL =  32
 1.766E+02 4.412E+02 8.789E+02 1.766E+03 4.412E+03 8.789E+03
 1.766E+04 4.412E+04 8.789E+04 1.766E+05 4.412E+05 8.789E+05
 1.818E-13 2.179E-11 1.127E-10 2.533E-10 3.695E-10 3.744E-10
 3.365E-10 2.642E-10 2.113E-10 1.664E-10 1.192E-10 9.189E-11
W +32/W +33/   12/I.P. =         10768302.0/ICODE =  1/FCODE =  1/ISEL =  33
 1.879E+02 4.696E+02 9.393E+02 1.879E+03 4.696E+03 9.393E+03
 1.879E+04 4.696E+04 9.393E+04 1.879E+05 4.696E+05 9.393E+05
 1.815E-13 2.007E-11 1.009E-10 2.210E-10 3.176E-10 3.197E-10
 2.850E-10 2.227E-10 1.782E-10 1.400E-10 1.002E-10 7.711E-11
W +33/W +34/   12/I.P. =         11184484.0/ICODE =  1/FCODE =  1/ISEL =  34
 1.991E+02 4.981E+02 9.996E+02 1.991E+03 4.981E+03 9.996E+03
 1.991E+04 4.981E+04 9.996E+04 1.991E+05 4.981E+05 9.996E+05
 1.966E-13 1.907E-11 9.218E-11 1.952E-10 2.758E-10 2.749E-10
 2.436E-10 1.895E-10 1.510E-10 1.184E-10 8.457E-11 6.507E-11
W +34/W +35/   12/I.P. =         11774882.0/ICODE =  1/FCODE =  1/ISEL =  35
 2.111E+02 5.282E+02 1.060E+03 2.111E+03 5.282E+03 1.060E+04
 2.111E+04 5.282E+04 1.060E+05 2.111E+05 5.282E+05 1.060E+06
 1.685E-13 1.633E-11 7.783E-11 1.639E-10 2.288E-10 2.283E-10
 2.015E-10 1.563E-10 1.243E-10 9.739E-11 6.953E-11 5.339E-11
W +35/W +36/   12/I.P. =         12198323.0/ICODE =  1/FCODE =  1/ISEL =  36
 2.232E+02 5.584E+02 1.120E+03 2.232E+03 5.584E+03 1.120E+04
 2.232E+04 5.584E+04 1.120E+05 2.232E+05 5.584E+05 1.120E+06
 1.508E-13 1.408E-11 6.616E-11 1.377E-10 1.912E-10 1.897E-10
 1.672E-10 1.294E-10 1.028E-10 8.043E-11 5.732E-11 4.415E-11
W +36/W +37/   12/I.P. =         12655639.0/ICODE =  1/FCODE =  1/ISEL =  37
 2.361E+02 5.903E+02 1.181E+03 2.361E+03 5.903E+03 1.181E+04
