   74    /W   IONISATION RATE COEFFICIENTS   /
 7.057E+02 1.766E+03 3.533E+03 7.057E+03 1.766E+04 3.533E+04
 7.057E+04 1.766E+05 3.533E+05 7.057E+05 1.766E+06 3.533E+06
 1.884E-16 2.955E-13 3.400E-12 1.107E-11 2.117E-11 2.480E-11
 2.513E-11 2.245E-11 1.943E-11 1.620E-11 1.231E-11 9.808E-12
W +64/W +65/   12/I.P. =        125548200.0/ICODE =  1/FCODE =  1/ISEL =  65
 7.281E+02 1.818E+03 3.645E+03 7.281E+03 1.818E+04 3.645E+04
 7.281E+04 1.818E+05 3.645E+05 7.281E+05 1.818E+06 3.645E+06
 1.548E-21 8.061E-16 7.292E-14 7.304E-13 2.986E-12 4.631E-12
 5.405E-12 5.200E-12 4.544E-12 3.761E-12 2.778E-12 2.166E-12
W +65/W +66/   12/I.P. =        128209824.0/ICODE =  1/FCODE =  1/ISEL =  66
 7.505E+02 1.879E+03 3.757E+03 7.505E+03 1.879E+04 3.757E+04
 7.505E+04 1.879E+05 3.757E+05 7.505E+05 1.879E+06 3.757E+06
 1.678E-21 7.623E-16 6.428E-14 6.276E-13 2.535E-12 3.912E-12
 4.563E-12 4.402E-12 3.840E-12 3.181E-12 2.365E-12 1.833E-12
W +66/W +67/   12/I.P. =        131081160.0/ICODE =  1/FCODE =  1/ISEL =  67
 7.738E+02 1.930E+03 3.869E+03 7.738E+03 1.930E+04 3.869E+04
 7.738E+04 1.930E+05 3.869E+05 7.738E+05 1.930E+06 3.869E+06
 1.845E-21 6.852E-16 5.580E-14 5.330E-13 2.108E-12 3.248E-12
 3.785E-12 3.657E-12 3.204E-12 2.659E-12 1.976E-12 1.540E-12
W +67/W +68/   12/I.P. =        133791176.0/ICODE =  1/FCODE =  1/ISEL =  68
 7.971E+02 1.991E+03 3.981E+03 7.971E+03 1.991E+04 3.981E+04
 7.971E+04 1.991E+05 3.981E+05 7.971E+05 1.991E+06 3.981E+06
 1.994E-21 6.207E-16 4.688E-14 4.359E-13 1.706E-12 2.618E-12
 3.060E-12 2.969E-12 2.608E-12 2.171E-12 1.620E-12 1.268E-12
W +68/W +69/   12/I.P. =        149018912.0/ICODE =  1/FCODE =  1/ISEL =  69
 8.203E+02 2.051E+03 4.102E+03 8.203E+03 2.051E+04 4.102E+04
 8.203E+04 2.051E+05 4.102E+05 8.203E+05 2.051E+06 4.102E+06
 1.582E-22 1.919E-16 2.248E-14 2.528E-13 1.093E-12 1.744E-12
 2.090E-12 2.076E-12 1.849E-12 1.557E-12 1.174E-12 9.238E-13
W +69/W +70/   12/I.P. =        152212864.0/ICODE =  1/FCODE =  1/ISEL =  70
 8.445E+02 2.111E+03 4.222E+03 8.445E+03 2.111E+04 4.222E+04
 8.445E+04 2.111E+05 4.222E+05 8.445E+05 2.111E+06 4.222E+06
 1.291E-22 1.410E-16 1.596E-14 1.776E-13 7.588E-13 1.205E-12
 1.436E-12 1.423E-12 1.265E-12 1.062E-12 7.968E-13 6.230E-13
W +70/W +71/   12/I.P. =        156164992.0/ICODE =  1/FCODE =  1/ISEL =  71
 8.703E+02 2.171E+03 4.343E+03 8.703E+03 2.171E+04 4.343E+04
 8.703E+04 2.171E+05 4.343E+05 8.703E+05 2.171E+06 4.343E+06
 8.841E-23 8.445E-17 9.328E-15 1.045E-13 4.533E-13 7.334E-13
 9.005E-13 9.118E-13 8.226E-13 6.990E-13 5.308E-13 4.195E-13
W +71/W +72/   12/I.P. =        158818544.0/ICODE =  1/FCODE =  1/ISEL =  72
 8.962E+02 2.232E+03 4.464E+03 8.962E+03 2.232E+04 4.464E+04
 8.962E+04 2.232E+05 4.464E+05 8.962E+05 2.232E+06 4.464E+06
 5.717E-23 4.556E-17 4.785E-15 5.301E-14 2.481E-13 4.389E-13
 5.780E-13 6.284E-13 5.921E-13 5.237E-13 4.177E-13 3.404E-13
W +72/W +73/   12/I.P. =        638637504.0/ICODE =  1/FCODE =  1/ISEL =  73
 9.220E+02 2.292E+03 4.593E+03 9.220E+03 2.292E+04 4.593E+04
 9.220E+04 2.292E+05 4.593E+05 9.220E+05 2.292E+06 4.593E+06
 1.000E-36 2.851E-29 1.432E-21 1.125E-17 2.614E-15 1.739E-14
 4.534E-14 7.575E-14 8.349E-14 8.021E-14 6.714E-14 5.563E-14
W +73/W +74/   12/I.P. =        651337536.0/ICODE =  1/FCODE =  1/ISEL =  74
 9.479E+02 2.361E+03 4.722E+03 9.479E+03 2.361E+04 4.722E+04
 9.479E+04 2.361E+05 4.722E+05 9.479E+05 2.361E+06 4.722E+06
 1.000E-36 1.950E-29 7.978E-22 5.830E-18 1.312E-15 8.519E-15
 2.193E-14 3.651E-14 4.020E-14 3.848E-14 3.218E-14 2.664E-14
C-------------------------------------------------------------------------------
C
C  Electron impact ionisation rates from CADW
C
C   ISEL  INITIAL   FINAL    SOURCE
C   ----  -------   -----    ------
C     1   W + 0     W + 1    /home/adas/adas/adf23/cadw#74/ca09_w0.dat
C     2   W + 1     W + 2    /home/adas/adas/adf23/cadw#74/ca09_w1.dat
C     3   W + 2     W + 3    /home/adas/adas/adf23/cadw#74/ca09_w2.dat
C     4   W + 3     W + 4    /home/adas/adas/adf23/cadw#74/ca09_w3.dat
C     5   W + 4     W + 5    /home/adas/adas/adf23/cadw#74/ca09_w4.dat
C     6   W + 5     W + 6    /home/adas/adas/adf23/cadw#74/ca09_w5.dat
C     7   W + 6     W + 7    /home/adas/adas/adf23/cadw#74/ca09_w6.dat
C     8   W + 7     W + 8    /home/adas/adas/adf23/cadw#74/ca09_w7.dat
C     9   W + 8     W + 9    /home/adas/adas/adf23/cadw#74/ca09_w8.dat
C    10   W + 9     W +10    /home/adas/adas/adf23/cadw#74/ca09_w9.dat
C    11   W +10     W +11    /home/adas/adas/adf23/cadw#74/ca09_w10.dat
C    12   W +11     W +12    /home/adas/adas/adf23/cadw#74/ca09_w11.dat
C    13   W +12     W +13    /home/adas/adas/adf23/cadw#74/ca09_w12.dat
C    14   W +13     W +14    /home/adas/adas/adf23/cadw#74/ca09_w13.dat
C    15   W +14     W +15    /home/adas/adas/adf23/cadw#74/ca09_w14.dat
C    16   W +15     W +16    /home/adas/adas/adf23/cadw#74/ca09_w15.dat
C    17   W +16     W +17    /home/adas/adas/adf23/cadw#74/ca09_w16.dat
C    18   W +17     W +18    /home/adas/adas/adf23/cadw#74/ca09_w17.dat
C    19   W +18     W +19    /home/adas/adas/adf23/cadw#74/ca09_w18.dat
C    20   W +19     W +20    /home/adas/adas/adf23/cadw#74/ca09_w19.dat
C    21   W +20     W +21    /home/adas/adas/adf23/cadw#74/ca09_w20.dat
C    22   W +21     W +22    /home/adas/adas/adf23/cadw#74/ca09_w21.dat
C    23   W +22     W +23    /home/adas/adas/adf23/cadw#74/ca09_w22.dat
C    24   W +23     W +24    /home/adas/adas/adf23/cadw#74/ca09_w23.dat
C    25   W +24     W +25    /home/adas/adas/adf23/cadw#74/ca09_w24.dat
C    26   W +25     W +26    /home/adas/adas/adf23/cadw#74/ca09_w25.dat
C    27   W +26     W +27    /home/adas/adas/adf23/cadw#74/ca09_w26.dat
C    28   W +27     W +28    /home/adas/adas/adf23/cadw#74/ca09_w27.dat
C    29   W +28     W +29    /home/adas/adas/adf23/cadw#74/ca09_w28.dat
C    30   W +29     W +30    /home/adas/adas/adf23/cadw#74/ca09_w29.dat
C    31   W +30     W +31    /home/adas/adas/adf23/cadw#74/ca09_w30.dat
C    32   W +31     W +32    /home/adas/adas/adf23/cadw#74/ca09_w31.dat
C    33   W +32     W +33    /home/adas/adas/adf23/cadw#74/ca09_w32.dat
C    34   W +33     W +34    /home/adas/adas/adf23/cadw#74/ca09_w33.dat
C    35   W +34     W +35    /home/adas/adas/adf23/cadw#74/ca09_w34.dat
C    36   W +35     W +36    /home/adas/adas/adf23/cadw#74/ca09_w35.dat
C    37   W +36     W +37    /home/adas/adas/adf23/cadw#74/ca09_w36.dat
C    38   W +37     W +38    /home/adas/adas/adf23/cadw#74/ca09_w37.dat
C    39   W +38     W +39    /home/adas/adas/adf23/cadw#74/ca09_w38.dat
C    40   W +39     W +40    /home/adas/adas/adf23/cadw#74/ca09_w39.dat
C    41   W +40     W +41    /home/adas/adas/adf23/cadw#74/ca09_w40.dat
C    42   W +41     W +42    /home/adas/adas/adf23/cadw#74/ca09_w41.dat
C    43   W +42     W +43    /home/adas/adas/adf23/cadw#74/ca09_w42.dat
C    44   W +43     W +44    /home/adas/adas/adf23/cadw#74/ca09_w43.dat
C    45   W +44     W +45    /home/adas/adas/adf23/cadw#74/ca09_w44.dat
C    46   W +45     W +46    /home/adas/adas/adf23/cadw#74/ca09_w45.dat
C    47   W +46     W +47    /home/adas/adas/adf23/cadw#74/ca09_w46.dat
C    48   W +47     W +48    /home/adas/adas/adf23/cadw#74/ca09_w47.dat
C    49   W +48     W +49    /home/adas/adas/adf23/cadw#74/ca09_w48.dat
C    50   W +49     W +50    /home/adas/adas/adf23/cadw#74/ca09_w49.dat
C    51   W +50     W +51    /home/adas/adas/adf23/cadw#74/ca09_w50.dat
C    52   W +51     W +52    /home/adas/adas/adf23/cadw#74/ca09_w51.dat
C    53   W +52     W +53    /home/adas/adas/adf23/cadw#74/ca09_w52.dat
C    54   W +53     W +54    /home/adas/adas/adf23/cadw#74/ca09_w53.dat
C    55   W +54     W +55    /home/adas/adas/adf23/cadw#74/ca09_w54.dat
C    56   W +55     W +56    /home/adas/adas/adf23/cadw#74/ca09_w55.dat
C    57   W +56     W +57    /home/adas/adas/adf23/cadw#74/ca09_w56.dat
C    58   W +57     W +58    /home/adas/adas/adf23/cadw#74/ca09_w57.dat
C    59   W +58     W +59    /home/adas/adas/adf23/cadw#74/ca09_w58.dat
C    60   W +59     W +60    /home/adas/adas/adf23/cadw#74/ca09_w59.dat
C    61   W +60     W +61    /home/adas/adas/adf23/cadw#74/ca09_w60.dat
C    62   W +61     W +62    /home/adas/adas/adf23/cadw#74/ca09_w61.dat
C    63   W +62     W +63    /home/adas/adas/adf23/cadw#74/ca09_w62.dat
C    64   W +63     W +64    /home/adas/adas/adf23/cadw#74/ca09_w63.dat
C    65   W +64     W +65    /home/adas/adas/adf23/cadw#74/ca09_w64.dat
C    66   W +65     W +66    /home/adas/adas/adf23/cadw#74/ca09_w65.dat
C    67   W +66     W +67    /home/adas/adas/adf23/cadw#74/ca09_w66.dat
C    68   W +67     W +68    /home/adas/adas/adf23/cadw#74/ca09_w67.dat
C    69   W +68     W +69    /home/adas/adas/adf23/cadw#74/ca09_w68.dat
C    70   W +69     W +70    /home/adas/adas/adf23/cadw#74/ca09_w69.dat
C    71   W +70     W +71    /home/adas/adas/adf23/cadw#74/ca09_w70.dat
C    72   W +71     W +72    /home/adas/adas/adf23/cadw#74/ca09_w71.dat
C    73   W +72     W +73    /home/adas/adas/adf23/cadw#74/ca09_w72.dat
C    74   W +73     W +74    /home/adas/adas/adf23/cadw#74/ca09_w73.dat
C
C
C  Producer : Martin O'Mullane
C  Date     : 30/09/09
C
C-------------------------------------------------------------------------------

C-----------------------------------------------------------------------
C                               OPEN-ADAS
C                               +++++++++
C
C This file has been downloaded from OPEN-ADAS (http://open.adas.ac.uk)
C on 25-Sep-2015.
C
C TERMS AND CONDITIONS
C --------------------
C
C The user of the OPEN-ADAS system and data (hereinafter "the User")
C accepts the following terms and conditions:
C
C   1. The University of Strathclyde uses all reasonable endeavours to
C      ensure the accuracy of the data provided and any information
C      given, but the University makes no warranty, expressed or implied
C      as to its accuracy, integrity, fitness for purpose and shall not
C      be responsible for the use to which the data is put by the User
C      and/or any consequences arising out of any inaccuracies or
C      omissions.
C
C   2. Any downloaded OPEN-ADAS file is made available for the
C      personal use of the User only.  It must not be used for any
C      commercial application, incorporated into any web site or in
C      any form re-distributed without express prior written permission
C      from the ADAS Project. In particular, but not by way of
C      limitation, it must not be:
C        *  inserted into a managed database structure,
C        *  redistributed along with a modelling or analysis code,
C        *  made available on a public website.
C
C Permission for OPEN-ADAS data incorporation in non-commercial
C code/system development for scientific advance will not be
C unreasonably withheld, but will be subject to written agreement
C on a case by case basis.
C
C The User will indemnify the University of Strathclyde and keep it
C fully and effectively indemnified against each and every claim made
C against the University as a result of the User's use of the data.
C
C-----------------------------------------------------------------------
